"TagName","Text","Url"
"Img","Variable Soft logo header","/assets/img/logo_header.png"
"a","0","0"
"a","","https://www.facebook.com/VariableSoft"
"a","","https://plus.google.com/+Variablesoft-Software"
"a","","https://www.linkedin.com/company/4797620?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1427649853287%2Ctas%3Avariable+soft"
"a","
                
            ","/"
"Img","Variable Soft Logo","/img/logo.png"
"a","Home","/"
"a","Who we are","/whoweare"
"a","Portfolio","/portfolio"
"a","Services","/service"
"a","Our Product","/our-product"
"a","Blog","/blog"
"a","Career","/career"
"a","Gallery","/gallery"
"a","Contact","/getintouch"
"a","web based crm software","https://variablesoft.com/crm-development-services"
"Img","web designing in jaipur","/assets/img/web-design.png"
"Img","web development in jaipur","/assets/img/Web-Development.png"
"Img","e-commerce development in india","/assets/img/ecommerce.png"
"Img","mobile app development","/assets/img/mobile-app.png"
"Img","search engine optimization","/assets/img/seo.png"
"Img","software development in jaipur","/assets/img/Software-development.png"
"a","software development company in India ","https://variablesoft.com/"
"a","All ","#"
"a","Web Development","#"
"a","Mobile App","#"
"a","Web Designing","#"
"Img","Agri Bolo","/img/gallery/Dashboard-Purchases.png"
"a","
                                
                                
                            ","https://agribolo.com/"
"Img","College Raptor","/img/gallery/10.jpg"
"a","
                                
                                
                            ","https://www.collegeraptor.com/"
"Img","Prestloans","/img/gallery/11.png"
"a","
                                
                                
                            ","https://www.prestloans.com/"
"Img","Kartlay","/img/gallery/8.jpg"
"a","
                                
                                
                            ","http://kartlay.com/"
"Img","Usd Software","/img/gallery/usd.jpg"
"a","
                                
                                
                            ","https://www.usdsoftware.com/usd/home"
"Img","Kalam Sec","/img/gallery/KALAMLOGO2.png"
"a","
                                
                                
                            ","http://www.kalamsec.com/"
"Img","Services","/assets/img/full-tree.png"
"Img","Web Development company in India","/assets/img/1.png"
"Img","web designing company","/assets/img/2.png"
"Img","e-commerce development in india","/assets/img/3.png"
"Img","app development","/assets/img/4.png"
"Img","search engine optimization","/assets/img/5.png"
"Img","maintenance","/assets/img/6.png"
"Img","Admin","/assets/img/7.png"
"Img","responsive","/assets/img/8.png"
"Img","mobile services","/assets/img/9.png"
"Img","email services","/assets/img/10.png"
"Img","print media solutions","/assets/img/11.png"
"Img","collage-raptor by variable soft","/img/portfolio/collage-raptor.jpg"
"Img","gravity-Computers by variable soft","/img/portfolio/gravity.png"
"Img","VKALP","/img/portfolio/VKALP.jpg"
"Img","mirus project by variable soft","/img/portfolio/mirus.jpg"
"Img","US based broject for DMV","/img/portfolio/USD.jpg"
"Img","nilai by variable soft","/img/portfolio/nilai.jpg"
"Img","nilai project by variable soft","/img/portfolio/nilai-2.jpg"
"Img","Kalamsec project by variable soft","/img/portfolio/KALAMLOGO.png"
"Img","prestloans","/img/portfolio/prestloans.png"
"Img","aplusatech by variable soft","/img/portfolio/aplus.png"
"Img","rmvit project by variable soft","/img/portfolio/rmvlogo.png"
"Img","kartlay online shoping by variable soft","/img/portfolio/kartlay.jpg"
"Img","elite group by variable soft","/img/portfolio/elite.jpg"
"Img","agribolo project by variable soft","/img/portfolio/agribolo.png"
"Img","rnsinfotech project by variable soft","/img/portfolio/rnsinfotech.png"
"a","�","#myCarousel"
"a","�","#myCarousel"
"a","About Us","/whoweare"
"a","Privacy Policy","/privacy-policy"
"a","Terms of Service","/terms-of-service"
"a","Contact Us","/getintouch"
"a","Info@variablesoft.com","#"
"a","+91-895-201-2870","#"
"a","+91-141-491-7487","#"
"a","Facebook","https://www.facebook.com/VariableSoft"
"a","Google +","https://plus.google.com/+Variablesoft-Software"
"a","Linkedin","https://www.linkedin.com/company/4797620?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1427649853287%2Ctas%3Avariable+soft"
"a","twitter","https://twitter.com/variablesoft"
