"OrderId","Word","TagH1","TagH2","TagH3","TagH4","TagH5","TagH6","TagA","Link","NoFollowLink","TagArea","TagHidden","TagImg","TagButton","TagMetaDescription","TagMetaKeywords","TagTitle","TagSmall","TagStrike","TagSub","TagSup","TagB","TagBig","TagEm","TagI","TagStrong","TagU","TagOption","Lang","Country","DomailId","HostId","PunctuationMarkBefore","PunctuationMarkAfter","FirstLetterUppercase","AllInUpperCase","TagDel","TagDfn","TagIns","TagMark","TagOptgroup"
"0","@iPower","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"1","Goedkope","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"2","&","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"3","performante","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"4","webhosting","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"5","Belgi�","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"6","@iPower","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"7","biedt","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"8","professionele","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"9","&","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"10","kwalitatieve","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"11","website","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"12","hosting","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"13","aan","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"14","met","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"15","verschillende","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"16","voordelen","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"17","@iPower","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","en","US","1","1","0",",","0","0","0","0","0","0","0"
