OrderId,Word,TagH1,TagH2,TagH3,TagH4,TagH5,TagH6,TagA,Link,NoFollowLink,TagAreaAlt,TagHidden,TagImageAlt,TagButton,TagMetaDescription,TagMetaKeywords,TagTitle,TagSmall,TagStrike,TagSub,TagSup,TagB,TagBig,TagEm,TagI,TagStrong,TagU,TagOption,Lang,Country,Domain_ID,Host_ID,PunctuationMarkBefore,PunctuationMarkAfter,FirstLetterUppercase,AllInUpperCase,TagDel,TagDfn,TagIns,TagMark,TagOptGroup
0,this,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
1,is,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
2,the,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
3,metadescription,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
4,sample,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
5,page,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,,False,False,False,False,False,False,False
6,meta,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
7,keywords,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,,False,False,False,False,False,False,False
8,lorum,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
9,ipsum,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
10,Simple,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
11,manipulation,False,False,False,False,False,False,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,.,False,False,False,False,False,False,False
12,Hello,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
13,World,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,!,True,False,False,False,False,False,False
14,Hello,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
15,World,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,!,True,False,False,False,False,False,False
16,HTML,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,True,False,False,False,False,False
17,HTML,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,True,False,True,False,False,False
18,Header1,True,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
19,Header2,False,True,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
20,Header3,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
21,der,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,False,False,False,False,False,False,False
22,Header4,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,en,gb,1,1,,,True,False,False,False,False,False,False
